id,form,type,translation_lexeme,analysis,translation,mw_lexeme
2336.1,na,word,Not,INDC.na.102621.1,Certainly[न न = ननु] the bow weilding[√नम् शतृ =bending as a bow] Seizer[MBh],
2336.1,na,word,Not,INDC.na.102621.1,Certainly[न न = ननु] the bow weilding[√नम् शतृ =bending as a bow] Seizer[MBh],
2336.1,sa,stem,Certainly,MW.sa.225593,Certainly[न न = ननु] the bow weilding[√नम् शतृ =bending as a bow] Seizer[MBh],"6. स the actual base for the nom. case of the 3rd pers. pron. तद्, q.v. , RV. &c. &c."
2336.1,naman,word,bending,DHATU.Rama~. KRT.Satf  Nom.M.S,Certainly[न न = ननु] the bow weilding[√नम् शतृ =bending as a bow] Seizer[MBh],
2336.1,hara,word,Seizer,MW.hara.260678 Voc.M.S,Certainly[न न = ननु] the bow weilding[√नम् शतृ =bending as a bow] Seizer[MBh],"हर m. ‘Seizer’, ‘Destroyer’, N. of Śiva, ĀśvGṛ."
2337.1,ama,stem,mighty,MW.ama.13749,O mighty[RV] destroyer[√मज्ज् ण्यत्],"1. अम m. impetuosity, violence, strength, power, RV."
2337.1,majjya,word,destroyer,DHATU.wumasjo~. KRT.Ryat Voc.M.S,O mighty[RV] destroyer[√मज्ज् ण्यत्],
2338.1,rava,stem,Roarer,MW.rava.175305,O Roarer[√रु]; O bearer[MBh],"रव m.  a roar, yell, cry, howl , RV. &c. &c."
2338.1,sam,stem,bearer,INDC.sam.232987,O Roarer[√रु]; O bearer[MBh],
2338.1,Dara,word,"धर mfn.  bearing, supporting , MBh.",MW.Dara.99748 Voc.M.S,O Roarer[√रु]; O bearer[MBh],"धर mfn.  bearing, supporting , MBh."
2339.1,damana,stem,subduing,MW.damana.90271,The subduing[MBh] cheater[√मच्],"दमन mfn. ifc. taming, subduing, overpowering, MBh. viii"
2339.1,macam,word,cheater,MW.mac.154337 Acc.M.S,The subduing[MBh] cheater[√मच्],"to cheat, be wicked or arrogant"
2342.1,tad,word,all,INDC.tad.82047,O my all[RV]-eating[RV] killer[RV][annāda],
2342.1,adana,stem,O,MW.adana.3585,O my all[RV]-eating[RV] killer[RV][annāda],अदन n. act of eating
2342.1,sarva,word,all-eating,MW.sarva.238107 Voc.M.S,O my all[RV]-eating[RV] killer[RV][annāda],"सर्व mfn.  whole, entire, all, every , RV. &c. &c."
2342.1,mama,word,My[MW:asmad Gen.Sg.],PRON.asmad Gen.M.S,O my all[RV]-eating[RV] killer[RV][annāda],
2342.1,han,word,killer,MW.han.260418 Voc.M.S,O my all[RV]-eating[RV] killer[RV][annāda],"2. हन् mfn. killing, a killer, slayer"
2343.1,damana,stem,"दमन mfn. ifc. taming, subduing, overpowering, MBh. viii",MW.damana.90271,Praising[Nalod] the Subduer[MBh],"दमन mfn. ifc. taming, subduing, overpowering, MBh. viii"
2343.1,navanam,word,"नवन n. . ) the act of praising, laudation, Nalod.",MW.navana.104615 Acc.N.S,Praising[Nalod] the Subduer[MBh],"नवन n. . ) the act of praising, laudation, Nalod."
2344.1,damana,stem,O,MW.damana.90271,O Eminent[MBh] Subduer[MBh],"दमन mfn. ifc. taming, subduing, overpowering, MBh. viii"
2344.1,varya,word,Eminent,MW.varya.187829 Voc.M.S,O Eminent[MBh] Subduer[MBh],"excellent, eminent, chief, principal, best of , MBh."
2345.1,rama,word,O,MW.rama.175086 Voc.M.S,O calm[√रम् अच्] great one[RV][SR: śiva],"रम mfn. pleasing, delighting, rejoicing"
2345.1,mahan,word,great,MW.mahan.159265 Voc.M.S,O calm[√रम् अच्] great one[RV][SR: śiva],"महन् n. greatness, might, power, abundance , RV."
2346.1,raRa,word,meditating,MW.raRa.174076 Voc.M.S,O pleased[√रण अच्] deeply meditating one[RV],"1. रण m. delight, pleasure, gladness, joy, RV."
2346.1,A,stem,pleased,MW.A.22011,O pleased[√रण अच्] deeply meditating one[RV],"2. A ind. a particle of reminiscence, Pāṇ. i, 1, 14"
2346.1,manana,word,"mana/na mfn. thoughtful, careful, RV.",MW.manana.156762 Voc.M.S,O pleased[√रण अच्] deeply meditating one[RV],"mana/na mfn. thoughtful, careful, RV."
2347.1,amavan,word,mighty,MW.ama.13749 TAD.matup Voc.M.S,O mighty one[Nir],"1. अम m. impetuosity, violence, strength, power, RV."
2348.1,maTram,word,"maTra/ mfn. shaken, agitated, whirling, RV. .",MW.maTra.155217 Acc.M.S,The stormy one[RV; SR: reṣmiya],"maTra/ mfn. shaken, agitated, whirling, RV. ."
2349.1,dama,stem,Subduing,MW.dama.90250,from the Subduing[RV] blow[RV],"दम mfn. ifc. ‘taming, subduing’, see अरिं-, गां-, बलिं-"
2349.1,hanmanaH,word,blow,MW.hanman.260462 Abl.M.S,from the Subduing[RV] blow[RV],"हन्मन् m. or n. a stroke, blow, thrust, RV."
2350.1,rava,stem,roaring,DHATU.ru. KRT.ac Voc.M.S,The roaring[√रु अच्] mover[RV],
2350.1,yAH,word,mover,MW.yA.168996 Nom.M.S,The roaring[√रु अच्] mover[RV],N. of Lakṣmī.
2352.1,mada,stem,most,MW.mada.155332,The most[Suśr] intoxicating[RV] one,"ma/da m. hilarity, rapture, excitement, inspiration, intoxication, RV. &c. &c."
2352.1,tama,word,most,MW.tama.83005 Voc.M.S,The most[Suśr] intoxicating[RV] one,"2. तम an affix forming the superl. degree of adjectives and rarely of substantives , Suśr. i, 20, 11"
2354.1,rA,word,Amorous play ,DHATU.rE. KRT.ac Voc.M.S,O Roaring[रै अच्] separator[√रह् अच्][AV 12.2.43],
2354.1,rahan,word,separator,DHATU.rah. KRT.Satf Voc.M.S,O Roaring[रै अच्] separator[√रह् अच्][AV 12.2.43],
2355.1,madra,word,Name of,MW.madra.155684 Voc.M.S,Madra country (Name  of a country in NW India)[ŚBr],"to the north-west of Hindūstan proper, or a king  of this c°, ŚBr"
2356.1,tasanI,word,cl,DHATU.tas. KRT.lyuw TAD.ini Nom.M.S,One who possesses the throwing weapon(vajra)[√तस् ल्युट् इनि][SR: vapa],
2359.1,rava,word,"रव m.  a roar, yell, cry, howl , RV. &c. &c.",MW.rava.175305 Voc.M.S,"O Roarer, O mighty[RV] ever[sma RV] annointer[√अञ्ज् शतृ]","रव m.  a roar, yell, cry, howl , RV. &c. &c."
2359.1,ama,stem,mighty,MW.ama.13749,"O Roarer, O mighty[RV] ever[sma RV] annointer[√अञ्ज् शतृ]","1. अम m. impetuosity, violence, strength, power, RV."
2359.1,aYja,word,annointer,DHATU.anjU~. KRT.ac Voc.M.S,"O Roarer, O mighty[RV] ever[sma RV] annointer[√अञ्ज् शतृ]",
2359.1,sma,word,ever,INDC.sma.257061,"O Roarer, O mighty[RV] ever[sma RV] annointer[√अञ्ज् शतृ]",
2362.1,Arava,stem,thundering,MW.Arava.26220,O restorer[√ऋ अच्] of the thundering[Śis] sage[RV],"thundering, Śiś. vi, 38"
2362.1,fzeH,word,the,MW.fzi.39047 Gen.M.S,O restorer[√ऋ अच्] of the thundering[Śis] sage[RV],"f/zi m. , a singer of sacred hymns, an inspired poet or sage, any person who alone or with others invokes the deities in rhythmical speech or song of a sacred character , RV."
2362.1,ara,word,sage,MW.ara.15011 Voc.M.S,O restorer[√ऋ अच्] of the thundering[Śis] sage[RV],"N. of an ocean in Brahmā's world , ChUp."
2364.1,fc,stem,O,MW.fc.38757,O Praised[RV] Prāna[T],"sacred text, RV."
2364.1,Ana,word,"आन m. , face",MW.Ana.24313 Voc.M.S,O Praised[RV] Prāna[T],"आन m. , face"
2366.1,tana,stem,"तन n. offspring, posterity, i, 39, 7",MW.tana.82251,The Roaring[√तन् अच्] bearer[√वह् शतृ],"तन n. offspring, posterity, i, 39, 7"
2366.1,vahan,word,bearer,DHATU.vah. KRT.Satf Nom.M.S,The Roaring[√तन् अच्] bearer[√वह् शतृ],
2369.1,Ana,word,"आन m. , face",MW.Ana.24313 Voc.M.S,"O prāṇa(Rudra)[Praśna Up. 2.9], O destroyer(killer)","आन m. , face"
2369.1,hata,word,Rudra,MW.hata.260301 Voc.M.S,"O prāṇa(Rudra)[Praśna Up. 2.9], O destroyer(killer)","struck off , R."
2370.2,hayantaH,word,wanderers,DHATU.hay. KRT.Satf Nom.M.P,The wanderers[√हय् शतृ nmp],
2371.1,caza,word,destroyer,DHATU.caz. KRT.ac Voc.M.S,O destroyer[चष् अच्],
2373.1,dama,stem,"दम m.  house, home , RV.",MW.dama.90249,The unequalled[RV] Subduer[Pāṇ],"दम m.  house, home , RV."
2373.1,asamam,word,unequalled,MW.asama.20660 Acc.M.S,The unequalled[RV] Subduer[Pāṇ],"अ-सम mfn. uneven, unequal , Mn. x, 73"
2375.1,rakta,stem,vajra,MW.rakta.173347,O one whose favorite[Kāv] (weapon) is vajra[RV 9.52.3],"beloved, dear, lovely, pleasant, sweet, Kāv."
2375.1,vaDasna,word,"vaDasna/ m. or n.  = va/Dar, RV.",MW.vaDasna.185627 Voc.M.S,O one whose favorite[Kāv] (weapon) is vajra[RV 9.52.3],"vaDasna/ m. or n.  = va/Dar, RV."
2377.1,Sasta,stem,praised,MW.Sasta.210873,The praised[RV] Killer[Rājat],"praised, commended, approved, MBh."
2377.1,mAram,word,The,MW.mAra.163215 Acc.M.S,The praised[RV] Killer[Rājat],"मार mfn.  killing, destroying"
2378.1,rala,stem,"ralarola  m. howling, wailing, lamenting, HPariś.",USER|MW.ralarola. |Voc.M.S,O Roar[cf रलरोल:HPariś; cf:रल VarBṛS] giver[śiś],
2378.1,ra,word,giver,MW.ra.173014 Voc.M.S,O Roar[cf रलरोल:HPariś; cf:रल VarBṛS] giver[śiś],"2. ra  a cretic , Piṅg."
2380.1,aka,stem,"sin, L.",MW.aka.137,"O wanderer[√अक् अच्] with a splendid[RV; =Shiva, Bhp] form[RV]","sin, L."
2380.1,vAma,stem,splendid,MW.vAma.190969,"O wanderer[√अक् अच्] with a splendid[RV; =Shiva, Bhp] form[RV]","2. वाम mfn.  lovely, dear, pleasant, agreeable, fair, beautiful, splendid, noble, RV. &c. &c."
2380.1,mAna,word,splendid,MW.mAna.162725 Voc.M.S,"O wanderer[√अक् अच्] with a splendid[RV; =Shiva, Bhp] form[RV]","N. of the tenth house, VarBṛS. ."
2381.1,Avaha,stem,O,MW.Avaha.27051,O Bearer[RV] worshipper[मन् क्विप्],"to pass, producing"
2381.1,mAn,word,"to honour, respect, Dhātup",MW.mAn.162718 Voc.M.S,O Bearer[RV] worshipper[मन् क्विप्],"to honour, respect, Dhātup"
2382.1,maKa,word,vigorous,MW.maKa.154032 Voc.M.S,O vigorous one[RV],"1. मख mfn.  jocund, cheerful, sprightly, vigorous, active, restless , RV."
2385.1,kam,word,The,MW.kam.43756.1 Nom.M.S,The Excellent[ŚBr] roarers[√मञ्ज् अच्](maruts),
2385.1,maYjAn,word,roarers,DHATU.maYja~. KRT.ac Acc.M.P,The Excellent[ŚBr] roarers[√मञ्ज् अच्](maruts),
2389.1,tara,stem,O,MW.tara.83021.1,O great[RV] transcender[MBh Bhp],
2389.1,vAhana,word,O,MW.vAhana.192731 Voc.M.S,O great[RV] transcender[MBh Bhp],"2. vA/hana mfn.  drawing, bearing, carrying, conveying, bringing &c., Kathās."
2389.1,mahan,word,great,MW.mahan.159265 Voc.M.S,O great[RV] transcender[MBh Bhp],"महन् n. greatness, might, power, abundance , RV."
2390.1,baMha,word,growth,DHATU.bahi~. KRT.ac Voc.M.S,O one who gives growth[√बंह् अच् =puṣṭivardhana TS.] O one who is cherished[√चल् अच् =श्रुत] in the Vedic Riks[RV],
2390.1,fc,stem,"to praise, Dhātup",MW.fc,O one who gives growth[√बंह् अच् =puṣṭivardhana TS.] O one who is cherished[√चल् अच् =श्रुत] in the Vedic Riks[RV],
2390.1,cala,word,cherished,MW.cala.72588 Voc.M.S,O one who gives growth[√बंह् अच् =puṣṭivardhana TS.] O one who is cherished[√चल् अच् =श्रुत] in the Vedic Riks[RV],"चल mfn.  moving, trembling, shaking, loose, MBh. &c."
2391.1,mama,word,My[MW:asmad Gen.Sg.],PRON.asmad Gen.M.S,Who[RV] is mine?[RV],
2391.1,yaH,word,mine,MW.ya.168975 Nom.M.S,Who[RV] is mine?[RV],"2. य m.  a bacchic , Piṅg."
2393.1,dAva,stem,fire,MW.dAva.91837,O who delights[RV] in consuming[√जॄ अच्] with fire[ŚBr],"fire, heat"
2393.1,A,stem,fire,MW.A.22014,O who delights[RV] in consuming[√जॄ अच्] with fire[ŚBr],"A f. N. of Lakṣmī, L."
2393.1,jara,stem,O,MW.jara.77595,O who delights[RV] in consuming[√जॄ अच्] with fire[ŚBr],"जर mfn. , ‘becoming old’, see अ-जर, अहर्-जरम्"
2393.1,raRa,word,delights,MW.raRa.174076 Voc.M.S,O who delights[RV] in consuming[√जॄ अच्] with fire[ŚBr],"1. रण m. delight, pleasure, gladness, joy, RV."
2394.1,maha,stem,Great,MW.maha.159155,The Great[RV] Roarer[√भण् घञ् इनि],"1. maha/ mfn. great, mighty, strong, abundant, RV."
2394.1,BARI,word,Roarer,DHATU.BaR. KRT.GaY TAD.ini Nom.M.S,The Great[RV] Roarer[√भण् घञ् इनि],
2396.1,arRI,word,waves,MW.arRa TAD.ini Nom.M.S,The (Rudra) in the waves[RV अर्ण इनि; Sri Rudram:Ūrmya],
2398.1,sa,stem,Pr,MW.sa.225592,to Prāṇa[T] from the sacrificers[RV],"5. स mfn.  procuring, bestowing ."
2398.1,havAt,word,sacrificers,MW.hava.261892 Abl.M.S,to Prāṇa[T] from the sacrificers[RV],"1. hava m.  an oblation, burnt offering, sacrifice, Śiś."
2398.1,upa,stem,to Pr,MW.upa.34067,to Prāṇa[T] from the sacrificers[RV],"to , by the side of, with, together with, under, down"
2398.1,Ana,word,"आन m. , face",MW.Ana.24313 Voc.M.S,to Prāṇa[T] from the sacrificers[RV],"आन m. , face"
2399.1,anvatam,word,following,MW.anvat.8733.1 Acc.M.S,following[ĀpŚr],"to go after, follow, ĀpŚr"
2401.1,tma,stem,"त्मन् m.  the vital breath, RV. i, 63, 8 , ĀśvŚr. vi, 9, 1",MW.tman.87332,O one who holds[RV] Prāṇa[tman RV 1.63.8],"त्मन् m.  the vital breath, RV. i, 63, 8 , ĀśvŚr. vi, 9, 1"
2401.1,DAna,word,"धान mfn. containing, holding",MW.DAna.100750 Voc.M.S,O one who holds[RV] Prāṇa[tman RV 1.63.8],"धान mfn. containing, holding"
2402.1,Kad,word,steady,MW.Kad.61228 Voc.M.S,O steady[ŚBr. 1.4.7.10] unshakeable one[RV 2.35.5],"to be steady or firm or solid, ŚBr"
2402.1,avyaTya,word,"a-vyaTya/ mfn. , unshakable, RV. ii, 35, 5",MW.avyaTya.19289 Voc.M.S,O steady[ŚBr. 1.4.7.10] unshakeable one[RV 2.35.5],"a-vyaTya/ mfn. , unshakable, RV. ii, 35, 5"
2403.1,yama,stem,Shiva,MW.yama.170391,"O Yama's killer(Shiva)[RV RV]; O ever-destroyer[RV,RV]","N. of the god who presides over the Pitṛs  and rules the spirits of the dead, RV. &c. &c., IW. 18"
2403.1,han,word,killer,MW.han.260418 Voc.M.S,"O Yama's killer(Shiva)[RV RV]; O ever-destroyer[RV,RV]","2. हन् mfn. killing, a killer, slayer"
2403.1,sama,stem,Shiva,MW.sama.232992,"O Yama's killer(Shiva)[RV RV]; O ever-destroyer[RV,RV]","even , a pair, VarBṛS."
2403.1,saMhan,word,"to strike or put together, join, shut, close , RV",MW.saMhan.227367 KRT.kvip Voc.M.S,"O Yama's killer(Shiva)[RV RV]; O ever-destroyer[RV,RV]","to strike or put together, join, shut, close , RV"
2405.1,Sata,stem,a,MW.Sata.211813,"O giver of a hundred[MBh], O protector(चलि = cover = protection[W], र = giver[Sis])","शत n. . ) a hundred , RV. &c."
2405.1,da,word,a,MW.da.89220 Voc.M.S,"O giver of a hundred[MBh], O protector(चलि = cover = protection[W], र = giver[Sis])","द m. n. a gift, L."
2405.1,cali,stem,a,MW.cali.72671,"O giver of a hundred[MBh], O protector(चलि = cover = protection[W], र = giver[Sis])","चलि m. a cover, W."
2405.1,ra,word,a,MW.ra.173017 Voc.M.S,"O giver of a hundred[MBh], O protector(चलि = cover = protection[W], र = giver[Sis])","giving, effecting, Śiś."
2407.1,rajya,word,red,DHATU.raYj. TIN.low.2.S,Glow red[AV; SR:vilohita] [√रञ्ज् लोट् 2s],
2409.1,rava,stem,roaring,DHATU.ru. KRT.ac Voc.M.S,The roaring[√रु अच्] seizer[MBh],
2409.1,haram,word,seizer,MW.hara.260678 Acc.M.S,The roaring[√रु अच्] seizer[MBh],"हर m. ‘Seizer’, ‘Destroyer’, N. of Śiva, ĀśvGṛ."
2410.1,janam,word,creating,MW.jana.76737 Acc.M.S,by creating[√जन् णमुल्] the oblation[Hariv],"जन m.  creature, living being, man, person, race , people, subjects , RV. &c."
2410.1,mAKam,word,oblation,MW.mAKa.161941 Acc.M.S,by creating[√जन् णमुल्] the oblation[Hariv],"माख  n.  any relationship based upon an oblation offered in common, Hariv. ."
2411.1,jawAni,word,wearers,DHATU.jaw TIN.low.1.S,O braid wearers[MBh],
2413.1,rasan,word,Roaring,DHATU.ras. KRT.Satf Nom.M.S,O Roaring[√रस् शतृँ] Destroying[√दह् शतृँ] one,
2413.1,dahan,word,Destroying,DHATU.dah. KRT.Satf Nom.M.S,O Roaring[√रस् शतृँ] Destroying[√दह् शतृँ] one,
2414.1,yAna,stem,O,MW.yAna.171103,O one who is inclined[TS] to keep moving[MBh],"यान mfn. leading, conducting , RV."
2414.1,Amana,word,Sickness,MW.Amana.25439 Voc.M.S,O one who is inclined[TS] to keep moving[MBh],
2417.1,rava,stem,"रव m.  a roar, yell, cry, howl , RV. &c. &c.",MW.rava.175305,Win[√जि लोट् 2s] like[RV] Rudra[√रु अच्],"रव m.  a roar, yell, cry, howl , RV. &c. &c."
2417.1,samam,word,like,MW.samam.233019 Nom.M.S,Win[√जि लोट् 2s] like[RV] Rudra[√रु अच्],"समम् , ind. in like manner, alike, equally, similarly, RV. &c. &c."
2417.1,jaya,word,Win,MW.jaya.77322 Voc.M.S,Win[√जि लोट् 2s] like[RV] Rudra[√रु अच्],"जय mfn.  ifc. conquering, winning See ऋतं-, कृतं-, धनं-जय, पुरं-, शत्रुं-"
2420.1,maTa,stem,Destroying,DHATU.maT. KRT.ac Voc.M.S,The meditating/destruction[√मथ् अच्] minded one[RV],
2420.1,manaH,word,"N. of a son of Śambara, Hariv. .",MW.mana.156713 Nom.M.S,The meditating/destruction[√मथ् अच्] minded one[RV],"N. of a son of Śambara, Hariv. ."
2421.1,rava,stem,Roarer,MW.rava.175305,"O Roarer[√रु अच्], O Killer[√क्षद् अच्]","रव m.  a roar, yell, cry, howl , RV. &c. &c."
2421.1,kzadaH,word,Killer,MW.kzad.58898 Voc.M.P,"O Roarer[√रु अच्], O Killer[√क्षद् अच्]","to cut, dissect, divide, kill, RV"
2422.1,ravasa,stem,रवस See पुरू-र्°.,MW.ravasa.175333,"O roaring[RV] Prāṇa[RV 1.63.8], O decaying[RV] concealer[√वृ शतृ]",रवस See पुरू-र्°.
2422.1,tman,word,roaring,MW.tman.87332 Voc.M.S,"O roaring[RV] Prāṇa[RV 1.63.8], O decaying[RV] concealer[√वृ शतृ]","त्मन् m.  the vital breath, RV. i, 63, 8 , ĀśvŚr. vi, 9, 1"
2422.1,jarA,stem,roaring,MW.jarA.77602,"O roaring[RV] Prāṇa[RV 1.63.8], O decaying[RV] concealer[√वृ शतृ]","N. of a Rākṣasī , MBh. ii, vii"
2422.1,varan,word,concealer,DHATU.vf. KRT.Satf Nom.M.S,"O roaring[RV] Prāṇa[RV 1.63.8], O decaying[RV] concealer[√वृ शतृ]",
2423.1,SAnta,stem,tranquil,MW.SAnta.215270,Bowing[√नम् शतृ] to the tranquil one[MBh][=Shiva],"2. SAnta/ mfn.  appeased, pacified, tranquil, calm, free from passions, undisturbed, Up."
2423.1,naman,word,Bowing,DHATU.Rama~. KRT.Satf  Nom.M.S,Bowing[√नम् शतृ] to the tranquil one[MBh][=Shiva],
2428.1,kam,word,to,MW.kam.43756.1 Nom.M.S,Salutations[MārkP] to the excellent[śbr] mighty one[RV],
2428.1,amam,word,mighty,MW.ama.13749 Acc.M.S,Salutations[MārkP] to the excellent[śbr] mighty one[RV],"1. अम m. impetuosity, violence, strength, power, RV."
2428.1,namanam,word,mighty,MW.namana.103838 Acc.M.S,Salutations[MārkP] to the excellent[śbr] mighty one[RV],"नमन n. bowing down, sinking, MārkP."
2429.1,nanama,word,you,DHATU.Rama~. TIN.liw.1.S,"May I bow to you[√नम् लिट् 1s], O wanderer[MBh]",
2429.1,cara,word,I,MW.cara.72175 Voc.M.S,"May I bow to you[√नम् लिट् 1s], O wanderer[MBh]","forming the retinue of any one, BhP. iv, 29, 23"
2431.1,tanana,stem,giver,DHATU.tanu~^.Tanadi KRT.lyuw Voc.M.S,O giver[śis] of faith[√तन् ल्युट्] and devotion[RV],
2431.1,manA,stem,"manA/ f. devotion, attachment, zeal, eagerness, RV.",MW.manA.156839,thought[Veda],"manA/ f. devotion, attachment, zeal, eagerness, RV."
2431.1,ra,word,giver,MW.ra.173014 Voc.M.S,O giver[śis] of faith[√तन् ल्युट्] and devotion[RV],"2. ra  a cretic , Piṅg."
2432.1,mada,stem,passion,MW.mada.155334,O dispeller[RV] of passion[MBh],"ardent passion for , MBh."
2432.1,han,word,"to strike, beat , pound, hammer , strike &c",MW.han.260297.1 Voc.M.S,O dispeller[RV] of passion[MBh],
2435.1,ravavAn,word,bearer,DHATU.ru. KRT.ac TAD.matup Nom.M.S,The roar bearer[√रु अच् मतुप्],
2436.1,Sam,word,O,MW.Sam Nom.M.S,"bless[RV] (us), O Roarer[√रण् अच्]",
2436.1,raRa,word,roaring,MW.raRa.174198 Voc.M.S,"bless[RV] (us), O Roarer[√रण् अच्]","2. रण m.  sound, noise, L."
2438.1,ravata,word,roaring,MW.ravata.175329 Voc.M.S,roaring[ĀpŚr],"रवत m. = रव, roaring, yelling &c., ĀpŚr."
2439.1,mAmahan,word,worshipper,DHATU.mah. KRT.yaNluk.Satf Voc.M.S,The ever worshipper[√मह् यङ्लुकि शतृ],
2440.1,raTam,word,chariot,MW.raTa.174494 Acc.M.S,The chariot[RV],"1. रथ m.  ‘goer’, a chariot, car, esp. a two-wheeled war-chariot , any vehicle or equipage or carriage , waggon, cart, RV. &c. &c. . )"
2442.1,raRam,word,delightful,MW.raRa.174076 Acc.M.S,delightful[RV] lustre[MBh],"1. रण m. delight, pleasure, gladness, joy, RV."
2442.1,BAm,word,lustre,MW.BA.149420 Acc.M.S,delightful[RV] lustre[MBh],"भा m. the sun, L. ."
2445.1,nAman,word,sign,MW.nAman.105825 Voc.M.S,O sign[RV] of the annointing[√अञ्ज् अच्] Shiva[MBh],"नामन् n.  a characteristic mark or sign, form, nature, kind, manner, RV."
2445.1,aYja,stem,annointing,DHATU.anjU~. KRT.ac Voc.M.S,O sign[RV] of the annointing[√अञ्ज् अच्] Shiva[MBh],
2445.1,tara,word,the,MW.tara.83021.1 Voc.M.S,O sign[RV] of the annointing[√अञ्ज् अच्] Shiva[MBh],
2448.1,asama,stem,unequalled,MW.asama.20660,The unequalled[RV] (roaring) sound[RV],"अ-सम mfn. uneven, unequal , Mn. x, 73"
2448.1,svaram,word,sound,MW.svara.259869 Acc.M.S,The unequalled[RV] (roaring) sound[RV],"sva/ra or svara/, m. . ) sound, noise, RV. &c. &c."
2451.1,raRa,stem,roaring,MW.raRa.174198,O uninterruptible[R] Roarer[AV],"2. रण m.  sound, noise, L."
2451.1,aCinna,word,Roarer,MW.Cinna.75970 NEG Voc.M.S,O uninterruptible[R] Roarer[AV],"opened , Suśr."
2454.1,tat,stem,wanderer,INDC.tad.81811,O the wanderer[cf tat-soma RV 4.28.1;√चर् अच्],
2454.1,cara,word,wanderer,MW.cara.72176 Voc.M.S,O the wanderer[cf tat-soma RV 4.28.1;√चर् अच्],"movable, shaking, unsteady, W."
2455.1,kam,word,Excellent,MW.kam.43756.1 Nom.M.S,O excellent[ŚBr] Destroyer[√नभ् अच्],
2455.1,A,stem,excellent,MW.A.22015.50,O excellent[ŚBr] Destroyer[√नभ् अच्],"moreover, further, and  In classical Sanskṛt it may denote the limit ‘to’, ‘until’, ‘as far as’, ‘from’, either not including the object named or including it  e.g. A-maraRam or A-maraRAt, ‘till death’, Pañcat."
2455.1,naBa,word,O,MW.naBa.103701 Voc.M.S,O excellent[ŚBr] Destroyer[√नभ् अच्],"नभ m.  the sky, atmosphere , L."
2460.1,ud,stem,grow,INDC.ud.32058.2,O who makes food grow[उद्-√धन् अच्; Sri Rudram:andhasaspati],
2460.1,Dana,word,makes,MW.Dana.99265 Voc.M.S,O who makes food grow[उद्-√धन् अच्; Sri Rudram:andhasaspati],"धन m. N. of a merchant, HPariś."
2461.1,pattra,stem,leafy,MW.pattra.114850,O one who is in[-श VS; cf. giri-śa] leafy places[VS][SR: Parṇya],"a bird, L."
2461.1,Sa,word,leafy,MW.Sa.210836 Voc.M.S,O one who is in[-श VS; cf. giri-śa] leafy places[VS][SR: Parṇya],"= Siva, L."
2463.1,dada,stem,Giving,MW.dada.89875,Giving and regiving; O creator[√जन् क्विप्] as fire[AgP] (Agni),"दद mfn.  ‘giving’, see अभयं-"
2463.1,anudam,word,anu-da See anAnuda/.,MW.anuda.6422 Acc.M.S,Giving and regiving; O creator[√जन् क्विप्] as fire[AgP] (Agni),
2463.1,jAn,stem,creator,DHATU.jan. KRT.kvip,Giving and regiving; O creator[√जन् क्विप्] as fire[AgP] (Agni),
2463.1,anala,word,fire,MW.anala.5253 Voc.M.S,Giving and regiving; O creator[√जन् क्विप्] as fire[AgP] (Agni),"the god of fire, digestive power, gastric juice"
2464.1,ravasa,stem,रवस See पुरू-र्°.,MW.ravasa.175333,O Roaring[√रु अच्] killer[√तन् अच्],रवस See पुरू-र्°.
2464.1,tAna,word,O,MW.tAna.83833 Voc.M.S,O Roaring[√रु अच्] killer[√तन् अच्],
2465.1,mama,word,My[MW:asmad Gen.Sg.],PRON.asmad Gen.M.S,"My[RV] refuge[Uṇ. iv, 215]",
2465.1,okam,word,refuge,MW.oka.40590 Acc.M.S,"My[RV] refuge[Uṇ. iv, 215]","oka m. , a house, refuge, asylum"
2465.2,saha,word,mighty,MW.saha.239969 Voc.M.S,"O mighty[RV] one, O reigning one[ŚvetUp]","1. सह mfn. powerful, mighty, RV."
2465.2,ISana,word,reigning,MW.ISana.29851 Voc.M.S,"O mighty[RV] one, O reigning one[ŚvetUp]","ईशन n. commanding, reigning, ŚvetUp."
2467.1,maTa,stem,Destroying,DHATU.maT. KRT.ac Voc.M.S,The destroying[√मथ् अच्] giver[BhP],
2467.1,dAnI,word,"dAnin mfn. giving, liberal, BhP.",MW.dAnin.91317 Nom.M.S,The destroying[√मथ् अच्] giver[BhP],"dAnin mfn. giving, liberal, BhP."
2469.1,tat,stem,for,USER|INDC.tad.81811,Known for[तत् = known for RV 5.1.8] being the Savior[MBh],
2469.1,taraH,word,the,MW.tara.83021.1 Nom.M.S,Known for[तत् = known for RV 5.1.8] being the Savior[MBh],
2470.1,Cadam,word,cover,MW.Cada.75459 Acc.M.S,Prayer[Pāṇ] for cover[BhP](cloud/leaves),"छद mfn. ifc. covering, BhP. x, 83, 36"
2470.1,ASaMsAm,word,"A-SaMsA f. hope, expectation, desire, wish, Pāṇ.",MW.ASaMsA.27374 Acc.M.S,Prayer[Pāṇ] for cover[BhP](cloud/leaves),"A-SaMsA f. hope, expectation, desire, wish, Pāṇ."
2471.1,DAraRa,word,O,MW.DAraRa.100954 Voc.M.S,O Shiva(Bearer)[MBh],"धारण mfn. holding, bearing, keeping , retention, preserving, protecting, maintaining, possessing, having , TĀr."
